MSA,State,Lat,Long,NumAirline,GDP,Tech_Hub,AvgStateTax,AvgPropTaxPerCap,LandArea,PopDensity,Age2534,MedianIncome,PercentBach,PovertyRate,HealthCareIndex,CrimeIndex,PurchasingPower,CPIIndex,PollutionIndex,TrafficIndex,QualityofLifeIndex,RentIndex,PropPricetoIncomeRatio,CO2Index,NumTechConf,TotEnrollment,AvgSchoolRep,AvgTuition,Electricity,NatGas,CorpTaxMin,CorpTaxMax,CostLivingComposit,WCIndex,TaxableWageBase,SingEmpCost,FamilyEmpCost,GDP5Year,Poplutation,MaleFemaleRatio,Under5,Bet5and9,Bet10and14,Bet15and19,Bet20and24,Bet25and34,Bet35and44,Bet45and54,Bet55and59,Bet60and64,Bet65and74,Bet75and84,AtorOver85,MedianAge,Labor,LaborForceAnnGrowth,GDPperCap,CBRE_TechScore,CBRE_Tech_Talent,CBRE_change_12_17,CBRE_Volume_12_17,CBRE_Concentration_17,CBRE_17_Tech_Degrees,CBRE_Growth_12_17,CBRE_Brain,CBRE_AvgRent_75K,CBRE_AskingRentPerSF,CBRE_Vacancy_Rate,CBRE_Avg_monthly_Apartment_Rent,CBRE_Costofliving,CBRE_AvgAnn_TechWage,CBRE_Rent_to_Tech_WageRatio,CBRE_MILLENNIAL_Pop,CBRE_WageRelativetoUSAvg,CBRE_TalentWage_5Yr_Growth,CBRE_Office_Vacancy_Rate_13,CBRE_Apartment_Rent,RevPerCap0,RevPerCap11,RevPerCap21,RevPerCap22,RevPerCap23,RevPerCap31_33,RevPerCap42,RevPerCap44_45,RevPerCap48_49,RevPerCap51,RevPerCap52,RevPerCap53,RevPerCap54,RevPerCap56,RevPerCap61,RevPerCap62,RevPerCap71,RevPerCap72,RevPerCap81,RevPerCap55,RevPerCap99,PerofRev0,PerofRev11,PerofRev21,PerofRev22,PerofRev23,PerofRev31_33,PerofRev42,PerofRev44_45,PerofRev48_49,PerofRev51,PerofRev52,PerofRev53,PerofRev54,PerofRev56,PerofRev61,PerofRev62,PerofRev71,PerofRev72,PerofRev81,PerofRev55,PerofRev99,Patents,VCInvPer,VCFirms,Amazon,TopGrad,numairport,asai,densityscore,landusescore,activityscore,streetscore
"Abilene, TX",TX,32.4487364,-99.7331439,2,6749,0,0.0625,1731,2675,63.63327103,0.207,47241,0.215,0.183,,,,,,,,,,,0,0,0,0,8.55,,,,,1.45,9000,4251,11869,1.02883047,169000,102.6,11614,11412,10788,12030,16763,24597,19120,19229,10031,8956,13329,7908,3223,33.9,76782,0.0041,0.039934911,,,,,,,,,,,,,,,,,,,,,61.91953254,0,1.142923077,1.806804734,3.410177515,5.214502959,9.175621302,14.95401775,1.331544379,1.369727811,7.21487574,1.34412426,2.338153846,1.047278107,0.915106509,7.234177515,0.286822485,2.191307692,0.942366864,0,,1,0,0.018458199,0.029179883,0.055074342,0.084214185,0.148186217,0.241507278,0.021504432,0.022121094,0.116520191,0.021707597,0.037761168,0.016913534,0.014778963,0.116831914,0.004632181,0.035389603,0.015219218,,,8,0,0,0,0,1,14.88,,,,
"Akron, OH",OH,41.0814447,-81.5190053,22,32386,0,0.0575,1271,829,848.6188179,0.196,52758,0.255,0.153,74.07,49.96,,,43.1,136.11,,21.41,1.59,6688,0,17416,2.1,15464.75,9.71,6.19,,,94.3,1.45,9500,4626,13554,1.040197959,703398,94.5,38163,39479,42454,49009,53643,87484,81165,97751,53140,47109,64732,32436,16833,40.2,364471,0.0135,0.046042212,,,,,,,,,,,,,,,,,,,,,90.73682467,0.02782493,0.095341471,0,4.584960435,16.39610007,21.43522728,14.8022215,2.711928382,2.419169517,6.864348491,1.342757585,4.421680187,2.7740966,0.488164595,7.105331548,0.424114086,1.755641898,1.186582845,1.901333242,,1,0.000306655,0.001050747,0,0.050530316,0.180699513,0.236235149,0.163133563,0.029887848,0.026661386,0.075651187,0.014798375,0.048730823,0.030572996,0.005380005,0.078307033,0.004674112,0.019348725,0.013077192,0.020954373,,373,0,0,0,1,,,94.55,113.13,90.69,106.81
"Albany, GA",GA,31.5785074,-84.155741,35,4664,0,0.04,1125,1900,79.70210526,0.217,42178,0.17,0.287,66.67,80.64,,,28.45,,,20.92,,,0,0,0,0,9.75,8.76,0.06,0.06,90.1,1.8,9500,4155,12746,1.013687274,153776,90,10208,10338,11075,11188,11173,19902,18890,19259,9584,10027,13273,6319,2540,36.6,68577,0.0097,0.03032983,,,,,,,,,,,,,,,,,,,,,70.55451436,0.656877536,0,0,0,24.4965014,16.00799214,11.32681953,2.280180262,1.260515295,2.522357195,0,2.207743731,1.034426699,0.115596712,6.81396967,0.122229737,0.824842628,0.884461815,0,,1,0.009310213,0,0,0,0.347199632,0.226888276,0.160539969,0.032317992,0.017865835,0.035750472,0,0.031291318,0.014661382,0.001638403,0.096577373,0.001732416,0.011690855,0.012535864,,,28,0,0,0,0,1,14.66,,,,
"Albany Schenectady Troy, NY",NY,42.6525793,-73.7562317,0,46524,1,0.04,2697,2650,334.410566,0.192,62026,0.294,0.115,63.05,48.27,107.88,77.71,18.72,106.33,180.1,30.79,2.35,4817.56,0,6265,3.5,52305,14.78,6.79,0.065,0.065,107.5,2.83,11100,4865,14696,1.03502412,881862,95.7,46546,48303,49934,62203,70006,111912,104627,125428,63577,57607,80762,39807,21150,40,459919,0.0145,0.052756554,,,,,,,,,,,,,,,,,,,,,83.67382879,0.03464601,0,0.84466277,5.610529765,9.243515425,12.72446596,13.1187975,1.811184743,2.938871388,15.28467266,2.235098009,5.866738787,1.461643659,1.832415956,6.537831316,0.865136495,1.926355824,0.941442085,0.395820434,,1,0.00041406,0,0.010094707,0.067052385,0.110470807,0.152072233,0.156784955,0.021645773,0.035122946,0.182669694,0.026712032,0.070114382,0.017468349,0.021899511,0.078134722,0.010339392,0.023022202,0.011251333,0.004730517,,1090,0,0,1,1,,,95.4,105.96,108.19,86.04
"Albuquerque, NM",NM,35.110703,-106.609991,42,38523,0,0.0513,770,9077,100.3333701,0.197,54019,0.259,0.167,71.34,68.83,121.95,64.73,22.75,124.68,176.7,27.15,2.83,6070.5,0,20215,2.6,10965.5,9.64,,0.048,0.059,94.9,1.92,24200,4133,11494,1.025322247,905049,96.7,53641,57923,61124,58195,60425,128700,113212,117025,61609,57188,81510,39799,14698,37.7,440798,0.0121,0.042564546,,,,,,,,,,,,,,,,,,,,,80.27892744,0.020688383,0.132713256,1.286976727,4.186637409,20.80509232,11.48534168,12.84802038,1.346404449,3.485298586,7.312362093,1.453302528,5.47033586,1.41979495,0.341187052,5.58468105,0.275846943,1.847006074,0.732382446,0.244855251,,1,0.000257706,0.001653152,0.016031314,0.052151138,0.259160068,0.143067951,0.160042253,0.01677158,0.043414862,0.091086943,0.018103163,0.068141616,0.017685774,0.00425002,0.069565965,0.003436106,0.023007359,0.009122972,0.003050056,,294,0,0,0,1,,,103.6,102.57,99.36,97.51
"Alexandria, LA",LA,31.3112936,-92.4451371,6,5129,0,0.05,869,1973,78.04561581,0.208,43726,0.157,0.196,,,,,,,,,,,0,0,0,0,7.75,,0.04,0.08,95.8,2.11,7700,4086,11513,1.019847039,154385,98.4,10342,10733,10429,10203,10187,20692,19231,20029,10296,9113,13424,7043,2663,37.3,63835,0.0049,0.033222139,,,,,,,,,,,,,,,,,,,,,74.18005635,0.585885935,0,0,5.596677138,22.15184765,10.5409852,15.27276614,1.590238689,1.066347119,2.406704019,1.103390873,2.14409431,0.875816951,0.321592124,8.409579946,0.076503546,1.529831266,0.507795446,0,,1,0.00789816,0,0,0.075447194,0.298622686,0.142099989,0.205887767,0.02143755,0.014375119,0.032444085,0.014874495,0.028903919,0.011806636,0.004335291,0.113367128,0.001031322,0.020623215,0.006845444,,,7,0,0,0,0,1,26.78,,,,
"Allentown Bethlehem Easton, PA NJ",NJ,40.6084305,-75.4901833,13,38613,0,0.0663,3074,1338,628.2137519,0.186,61462,0.224,0.115,55.56,70.46,101.76,64.66,59.54,89.65,146.48,28.07,1.56,3990,0,5080,3.2,50740,13.38,9.05,0.09,0.09,105.9,2.92,33700,4946,12457,1.052521944,832790,96,44466,49184,52393,55696,54364,99256,100288,120529,60508,54842,77629,41355,22280,41.3,441725,0.0151,0.046365831,,,,,,,,,,,,,,,,,,,,,100.9799625,0.009715535,0,4.032088522,3.702585286,20.29865632,30.38300292,12.37848317,2.638480289,2.625833644,5.237586907,1.13231667,2.843839383,1.677658233,0.981244972,7.531400473,0.511815704,2.779753599,1.049958573,1.165542334,,1,9.62E-05,0,0.03992959,0.036666535,0.201016675,0.300881503,0.122583559,0.026128751,0.026003512,0.051867586,0.011213281,0.028162413,0.016613774,0.009717225,0.074583118,0.005068488,0.027527774,0.010397692,0.011542313,,320,0,0,1,1,,,98.76,128.59,101.1,135.97
"Altoona, PA",PA,40.5186809,-78.3947359,2,4690,0,0.045,1481,498,247.9056225,0.188,44086,0.139,0.133,,,,,,,,,,,0,0,0,0,10.16,,0.0999,0.0999,,1.84,10000,4508,13340,1.0263736,124736,96,6803,6857,7712,7491,7521,14637,14446,16724,9314,9059,13008,7363,3801,43.1,59513,-0.0023,0.03759941,,,,,,,,,,,,,,,,,,,,,80.23240283,0.089653348,0,0,3.690354028,16.58822633,18.95674865,15.77862045,5.66239097,2.203445677,1.495366213,0.894705618,1.426781362,1.314007183,0.142917842,7.88649628,0,2.279758851,1.309124872,0.513805156,,1,0.001117421,0,0,0.045995806,0.206752207,0.236272977,0.196661447,0.070574865,0.027463289,0.018637934,0.011151425,0.017783106,0.016377513,0.001781298,0.098295651,0,0.028414441,0.01631666,0.006403961,,12,0,0,0,0,1,8.75,,,,
"Amarillo, TX",TX,35.2219971,-101.8312969,10,12238,0,0.0625,1731,3550,74.62676056,0.207,50615,0.214,0.159,68.52,48.56,,,50.45,,,21.42,2.02,,0,0,0,0,8.55,,,,86.2,1.45,9000,4251,11869,1.026469993,261827,101.2,19024,20454,17497,18191,18110,38904,33123,31589,16980,14001,19384,10551,4019,34.7,133467,0.0074,0.046740787,,,,,,,,,,,,,,,,,,,,,96.53293969,0.183884779,1.247082998,0,3.377482078,27.80232367,15.78142056,16.81210112,2.035806086,1.541384196,5.379930259,2.068571996,2.077547388,3.495861771,0.165372555,9.020884019,0.232531404,1.908974246,2.030050377,1.371730188,,1,0.001904892,0.01291873,0,0.034987871,0.288008671,0.163482233,0.174159216,0.021089237,0.015967443,0.055731549,0.021428665,0.021521642,0.036214185,0.00171312,0.093448765,0.00240883,0.019775366,0.021029613,0.01420997,,18,0,0,0,0,,,96.16,109.27,76.98,91.56
"Ames, IA",IA,42.034722,-93.62,0,4461,0,0.06,1569,519,187.8651252,0.24,53864,0.494,0.185,84.26,12.94,,,41.67,86.81,,27.65,4.19,3790.5,0,30671,3.3,11879,8.92,6.93,0.06,0.06,92.7,1.86,29900,4010,11817,1.035782511,95888,108.9,4499,4388,4704,12306,20768,12346,8899,8487,4511,4412,5664,3261,1643,25.9,60709,0.0154,0.046523027,,,,,,,,,,,,,,,,,,,,,73.99560946,0.439523194,0,0.682723594,3.280473052,30.62520858,14.73092566,11.24741365,0.786938929,1.249259553,1.433641332,1.53880569,1.7369431,0.77744869,0.092263891,3.016696563,0,1.776061655,0.581282329,0,,1,0.005939855,0,0.009226542,0.044333347,0.413878726,0.199078375,0.152001095,0.010634941,0.016882888,0.019374681,0.020795905,0.023473597,0.010506687,0.001246883,0.040768589,0,0.024002257,0.007855633,,,84,0,0,0,1,,,,,,
