MSA,State,Lat,Long,NumAirline,GDP,Tech_Hub,AvgStateTax,AvgPropTaxPerCap,LandArea,PopDensity,Age2034,MedianIncome,PercentBach,PovertyRate,HealthCareIndex,CrimeIndex,PurchasingPower,CPIIndex,PollutionIndex,TrafficIndex,QualityofLifeIndex,RentIndex,PropPricetoIncomeRatio,CO2Index,NumTechConf,TotEnrollment,AvgSchoolRep,AvgTuition,Electricity,NatGas,CorpTaxMin,CorpTaxMax,CostLivingComposit,WCIndex,TaxableWageBase,SingEmpCost,FamilyEmpCost,GDP5Year,Poplutation,MaleFemaleRatio,Under5,Bet5and9,Bet10and14,Bet15and19,Bet20and24,Bet25and34,Bet35and44,Bet45and54,Bet55and59,Bet60and64,Bet65and74,Bet75and84,AtorOver85,MedianAge,Labor,LaborForceAnnGrowth,GDPperCap
Abilene-TX,TX,32.4487364,-99.7331439,2,6749,0,0.0625,1731,2675,63.63327103,0.207,47241,0.215,0.183,,,,,,,,,,,0,0,0,0,8.55,,,,,1.45,9000,4251,11869,1.02883047,169000,102.6,11614,11412,10788,12030,16763,24597,19120,19229,10031,8956,13329,7908,3223,33.9,76782,0.0041,0.039934911
Akron-OH,OH,41.0814447,-81.5190053,22,32386,0,0.0575,1271,829,848.6188179,0.196,52758,0.255,0.153,74.07,49.96,,,43.1,136.11,,21.41,1.59,6688,0,17416,2.1,15464.75,9.71,6.19,,,94.3,1.45,9500,4626,13554,1.040197959,703398,94.5,38163,39479,42454,49009,53643,87484,81165,97751,53140,47109,64732,32436,16833,40.2,364471,0.0135,0.046042212
Albany-GA,GA,31.5785074,-84.155741,35,4664,0,0.04,1125,1900,79.70210526,0.217,42178,0.17,0.287,66.67,80.64,,,28.45,,,20.92,,,0,0,0,0,9.75,8.76,0.06,0.06,90.1,1.8,9500,4155,12746,1.013687274,153776,90,10208,10338,11075,11188,11173,19902,18890,19259,9584,10027,13273,6319,2540,36.6,68577,0.0097,0.03032983
Albany-Schenectady-Troy-NY,NY,42.6525793,-73.7562317,0,46524,1,0.04,2697,2650,334.410566,0.192,62026,0.294,0.115,63.05,48.27,107.88,77.71,18.72,106.33,180.1,30.79,2.35,4817.56,0,6265,3.5,52305,14.78,6.79,0.065,0.065,107.5,2.83,11100,4865,14696,1.03502412,881862,95.7,46546,48303,49934,62203,70006,111912,104627,125428,63577,57607,80762,39807,21150,40,459919,0.0145,0.052756554
Albuquerque-NM,NM,35.110703,-106.609991,42,38523,0,0.0513,770,9077,100.3333701,0.197,54019,0.259,0.167,71.34,68.83,121.95,64.73,22.75,124.68,176.7,27.15,2.83,6070.5,0,20215,2.6,10965.5,9.64,,0.048,0.059,94.9,1.92,24200,4133,11494,1.025322247,905049,96.7,53641,57923,61124,58195,60425,128700,113212,117025,61609,57188,81510,39799,14698,37.7,440798,0.0121,0.042564546
Alexandria-LA,LA,31.3112936,-92.4451371,6,5129,0,0.05,869,1973,78.04561581,0.208,43726,0.157,0.196,,,,,,,,,,,0,0,0,0,7.75,,0.04,0.08,95.8,2.11,7700,4086,11513,1.019847039,154385,98.4,10342,10733,10429,10203,10187,20692,19231,20029,10296,9113,13424,7043,2663,37.3,63835,0.0049,0.033222139
Allentown-Bethlehem-Easton-PA-NJ,NJ,40.6084305,-75.4901833,13,38613,0,0.0663,3074,1338,628.2137519,0.186,61462,0.224,0.115,55.56,70.46,101.76,64.66,59.54,89.65,146.48,28.07,1.56,3990,0,5080,3.2,50740,13.38,9.05,0.09,0.09,105.9,2.92,33700,4946,12457,1.052521944,832790,96,44466,49184,52393,55696,54364,99256,100288,120529,60508,54842,77629,41355,22280,41.3,441725,0.0151,0.046365831
Altoona-PA,PA,40.5186809,-78.3947359,2,4690,0,0.045,1481,498,247.9056225,0.188,44086,0.139,0.133,,,,,,,,,,,0,0,0,0,10.16,,0.0999,0.0999,,1.84,10000,4508,13340,1.0263736,124736,96,6803,6857,7712,7491,7521,14637,14446,16724,9314,9059,13008,7363,3801,43.1,59513,-0.0023,0.03759941
Amarillo-TX,TX,35.2219971,-101.8312969,10,12238,0,0.0625,1731,3550,74.62676056,0.207,50615,0.214,0.159,68.52,48.56,,,50.45,,,21.42,2.02,,0,0,0,0,8.55,,,,86.2,1.45,9000,4251,11869,1.026469993,261827,101.2,19024,20454,17497,18191,18110,38904,33123,31589,16980,14001,19384,10551,4019,34.7,133467,0.0074,0.046740787
Ames-IA,IA,42.034722,-93.62,0,4461,0,0.06,1569,519,187.8651252,0.24,53864,0.494,0.185,84.26,12.94,,,41.67,86.81,,27.65,4.19,3790.5,0,30671,3.3,11879,8.92,6.93,0.06,0.06,92.7,1.86,29900,4010,11817,1.035782511,95888,108.9,4499,4388,4704,12306,20768,12346,8899,8487,4511,4412,5664,3261,1643,25.9,60709,0.0154,0.046523027
Anchorage-AK,AK,61.2180556,-149.9002778,59,24682,0,0,2001,32575,12.3066155,0.201,75070,0.253,0.1,,,,,,,,,,,0,0,0,0,19.52,9.91,0,0.094,,2.74,39500,6291,17647,0.977084331,399360,105.6,29425,27553,28066,25813,31639,65739,51546,52079,27534,21600,25675,9391,3300,33.5,199876,0.0167,0.061803886
Ann-Arbor-MI,MI,42.2808256,-83.7430378,0,20545,0,0.06,1382,657,559.5540335,0.211,65020,0.501,0.13,75,21.64,124.5,70.28,18.03,114.9,202.2,46.98,4.12,5474.17,1,28983,4.4,22988.5,11.39,6.97,0.06,0.06,,1.57,9500,4167,13674,1.034919462,361509,98,18390,18995,19938,32385,47813,50876,41610,44470,21251,20679,27439,12149,5514,33.4,197039,0.0097,0.056831227
Appleton-WI,WI,44.2619309,-88.4153847,9,11412,0,0.05,1616,960,245.9645833,0.197,59993,0.236,0.083,62.5,39.65,127.96,79.72,8.62,117.62,195.75,21.8,1.49,6317.5,0,0,0,0,11.05,,0.079,0.079,,2.06,14000,4510,13660,1.040776143,233025,99.5,14588,15922,16066,15537,14470,29442,30235,34673,16922,13683,18008,9389,4090,38.4,132595,-0.0029,0.048973286
Asheville-NC,NC,35.5950581,-82.5514869,12,17329,0,0.0475,952,1945,234.5218509,0.171,47480,0.23,0.165,80.15,34.93,98.9,70.9,16.98,192.87,188.07,37.22,4.42,8536.18,0,0,0,0,9.15,9.06,0.03,0.03,97,1.91,23500,4154,12154,1.065421046,445625,93.1,22194,23076,24838,24306,24710,54383,55565,59393,32096,32290,53434,28023,11317,44,231512,0.0087,0.038886957
Athens-Clarke-County-GA,GA,33.95,-83.383333,1,8482,0,0.04,1125,976,214.4170082,0.23,45144,0.377,0.257,67.46,16.91,,,8.62,519.64,,26.76,4.84,22610,0,27951,2.3,16461.5,9.75,8.76,0.06,0.06,,1.8,9500,4155,12746,1.066265889,202780,93.8,11210,11519,11597,19522,27168,28637,24482,22602,10934,10617,14995,6711,2786,31.8,105698,0.0154,0.041828583
Atlanta-Sandy-Springs-Roswell-GA,GA,33.7489954,-84.3879824,917,334488,0,0.04,1125,7867,748.0279649,0.191,65097,0.307,0.152,64.16,64,143.03,73.07,44.7,222.95,168.14,46.13,2.87,10275,2,15489,4.6,17567,9.75,8.76,0.06,0.06,99,1.8,9500,4155,12746,1.057560329,5700990,93.8,371754,402472,413902,398881,377215,798027,822128,827360,355692,298051,403703,171910,59895,36.1,3090344,0.0022,0.058671915
Atlantic-City-Hammonton-NJ,NJ,39.3642834,-74.4229266,10,11233,0,0.0663,3074,615,438.8910569,0.185,59454,0.187,0.136,,,,,,,,,,,0,0,0,0,13.38,9.05,0.09,0.09,,2.92,33700,4946,12457,1.007429163,272926,93.9,15767,15972,17242,17818,18833,32438,31777,39779,20687,18073,25642,13287,5611,41.1,122584,-0.0126,0.041157676
Auburn-Opelika-AL,AL,32.6098566,-85.4807825,0,4715,0,0.04,540,582,277.6701031,0.234,46268,0.321,0.213,77.78,19.41,,,,3.41,,25.32,,,0,22658,3,15636,9.89,12.2,0.065,0.065,,1.85,8000,3825,11412,1.055961077,156597,97.2,9283,9190,9602,13532,22538,22454,18921,18343,8221,7677,10527,4896,1413,31,75810,0.0119,0.030109134
Augusta-Richmond-County-GA-SC,SC,33.4734978,-82.0105148,1,20911,0,0.06,1130,3158,190.041482,0.205,50696,0.216,0.196,,,,,,,,,,,0,0,0,0,9.83,9.35,0.05,0.05,91.7,1.94,14000,4289,12666,1.030457273,589519,94.6,37445,39600,38224,39614,40592,82484,71733,76650,39401,37849,51989,24888,9050,37.2,269224,0.0049,0.035471291
Austin-Round-Rock-TX,TX,30.267153,-97.7430608,83,135072,0,0.0625,1731,4157,508.979312,0.2,66788,0.363,0.157,70.58,34.32,140.47,73.02,37.08,177.48,189.71,50.2,4.09,8465.34,7,40168,4.1,16543.5,8.55,,,,97.5,1.45,9000,4251,11869,1.075261351,2000590,100.3,132927,135886,134025,132060,143822,347363,308797,257760,111879,98482,124418,52479,20692,34.2,1198220,0.0039,0.067516083
Bakersfield-CA,CA,35.3732921,-119.0187125,6,33594,0,0.0725,1451,7793,114.6052868,0.217,55220,0.141,0.214,60.07,56.6,140.78,67.94,71.25,102.75,161.13,29.87,2.38,4640.22,0,0,0,0,16.14,8.77,0.0884,0.0884,,3.24,7000,4490,12629,1.003285136,878744,105.1,71850,74162,70264,66343,69839,133605,110020,103750,48080,41604,53629,25904,9694,31.3,390888,0.0037,0.038229564
Baltimore-Columbia-Towson-MD,MD,39.2903848,-76.6121893,142,165903,1,0.06,1555,2849,985.6704107,0.19,73798,0.303,0.117,80.41,70.4,126.78,75.04,45.07,144.14,166.85,41.19,2.46,4928.52,0,23621,2.1,25835.16667,12,,0.0825,0.0825,,1.5,8500,4422,13041,1.033784536,2792050,93.1,168567,172258,171589,176553,185245,402488,348285,398043,196412,170807,233498,115896,52409,38.3,1510872,0.0086,0.059419781
Bangor-ME,ME,44.8011821,-68.7778138,8,5252,0,0.055,2055,3475,43.72863309,0.198,43931,0.211,0.16,47.22,41.18,,,27.59,97.13,,23.2,,4655,0,0,0,0,12.94,11.32,0.035,0.0893,,2.02,12000,4746,13288,1.023895107,152284,98.1,7184,7888,8086,10659,11520,19999,17107,21666,11819,10692,14604,7872,3188,41.8,71498,0.015,0.034488193
Barnstable-Town-MA,MA,41.7003208,-70.3002024,0,9837,0,0.0625,2258,1245,171.4409639,0.156,62757,0.328,0.109,,,,,,,,,,,0,0,0,0,16.14,,0.08,0.08,,1.29,15000,4644,13903,1.024776705,213900,91.4,7962,8662,10348,10918,10909,18749,19160,29267,17249,19816,33654,18386,8820,52.4,127750,-0.0347,0.04598878
Baton-Rouge-LA,LA,30.4582829,-91.1403196,8,45015,0,0.05,869,4118,202.5641088,0.216,54219,0.232,0.163,68.8,64.7,,,22.61,152.74,,30.81,2.86,8179.5,0,26118,2.5,15543.25,7.75,,0.04,0.08,94.9,2.11,7700,4086,11513,1.013363721,828741,96,54679,55426,54335,58376,72617,119834,103348,104361,53434,46510,64760,30201,10860,34.9,420516,-0.0026,0.054317332
Battle-Creek-MI,MI,42.3211522,-85.1797142,0,5354,0,0.06,1382,654,205.088685,0.201,43907,0.163,0.17,,,,,,,,,,,0,0,0,0,11.39,6.97,0.06,0.06,,1.57,9500,4167,13674,1.028492302,134327,95.6,8344,8668,8771,8851,8845,16027,15977,17986,9631,8983,12522,6729,2993,39.9,62973,0.0083,0.039857959
Bay-City-MI,MI,43.5944677,-83.8888647,0,2851,0,0.06,1382,582,179.104811,0.188,44229,0.144,0.159,,,,,,,,,,,0,0,0,0,11.39,6.97,0.06,0.06,,1.57,9500,4167,13674,1.008698936,105350,97,5238,6053,6595,6259,6434,12515,12140,14433,8383,7543,11054,6280,2423,42.9,50295,0.0053,0.027062174
Beaumont-Port-Arthur-TX,TX,30.080174,-94.1265562,2,20143,0,0.0625,1731,2332,176.859777,0.206,49362,0.152,0.196,63.89,61.27,,,88.79,105.73,,25.73,1.88,5320,0,9326,0,13223.5,8.55,,,,,1.45,9000,4251,11869,1.014267506,408663,102.4,27553,27787,26290,27009,27817,56536,50955,53469,27865,24447,33439,18407,7089,36.9,172072,0.0097,0.049290002
Bellingham-WA,WA,48.74908,-122.4781473,10,9276,0,0.065,1409,2497,88.6680016,0.209,52182,0.268,0.144,52.43,31.01,107.96,76.48,15.99,83.08,196.11,33.94,4.66,3125.5,0,0,0,0,7.94,,0.065,0.065,113.7,1.97,47300,5010,13273,1.034136084,212738,98.2,11682,11552,11946,14715,23516,27612,24787,25748,13827,13422,20826,9121,3984,36.9,113986,0.0346,0.043602929
Bend-Redmond-OR,OR,44.0581728,-121.3153096,8,8780,0,0,1404,2945,63.45500849,0.182,57071,0.246,0.148,62.04,13.31,,,3.45,111.99,,36.95,4.63,5776,0,0,0,0,8.98,8.88,0.066,0.076,,1.28,39300,4645,12927,1.096209353,175321,97.7,9240,10295,11036,9966,8940,21974,23015,22707,12777,12934,20769,8440,3228,42.1,96165,-0.0071,0.050079568
Billings-MT,MT,45.7832856,-108.5006904,12,8563,0,0,1509,4640,36.74525862,0.188,54538,0.263,0.129,61.11,40.59,113.35,71.33,51.72,88.77,165.52,28.85,3.41,3990,0,0,0,0,9.02,7.42,0.0675,0.0675,,2.1,32000,4772,12265,1.021557807,167545,97,10526,11387,10759,9726,10156,22500,20514,21504,11844,11449,15572,7891,3717,39,86446,0.0006,0.051108657
Binghamton-NY,NY,42.0986867,-75.9179738,4,8524,0,0.04,2697,1153,210.0754553,0.203,48313,0.231,0.152,82.87,49.41,148.16,67.54,49.43,97.42,,20.78,,3325,0,13632,2.3,13243,14.78,6.79,0.065,0.065,,2.83,11100,4865,14696,1.012859146,245446,96.8,12835,13181,14136,18538,22182,27185,25493,32813,18748,16102,23338,14092,6803,40.5,108886,0.0079,0.034728616
Birmingham-Hoover-AL,AL,33.5206608,-86.80249,36,55927,0,0.04,540,5087,226.028504,0.194,55863,0.246,0.169,69.82,61.82,105.2,71.4,30.82,118.5,174.82,33.59,2.71,5368.36,0,12369,2.2,13755,9.89,12.2,0.065,0.065,,1.85,8000,3825,11412,1.023106885,1144097,93,72093,73921,74617,72635,72044,155571,148640,153385,78289,72304,99983,51360,19255,38.4,546447,0.0085,0.048883093
Bismarck-ND,ND,46.8083268,-100.7837392,6,6921,0,0.05,1222,3507,37.67949815,0.193,57615,0.269,0.096,75,34.56,,,33.26,46.69,,26.38,3.71,1330,0,25791,3.9,16981.75,9.26,5.99,0.0141,0.0431,,0.89,35500,4360,12268,1.044715164,128673,101.4,8781,8945,7639,7604,8512,19389,15710,16169,9542,7447,10295,5328,3312,36.9,67298,0.0042,0.053787508
Blacksburg-Christiansburg-Radford-VA,VA,37.2295733,-80.4139393,0,6134,0,0.053,1520,1035,176.8048309,0.242,43931,0.309,0.19,66.67,,,,27.59,34.47,,23.59,1.6,280,0,0,0,0,9.28,,0.06,0.06,,1.24,8000,4164,12088,1.028685926,181863,102.9,8108,7898,8775,19909,25519,22786,19588,21575,9972,10912,15780,7956,3085,34,92134,0.0118,0.033728686
Bloomington-IL,IL,40.4842027,-88.9936873,12,10924,0,0.0625,2087,1087,173.1665133,0.224,61990,0.403,0.117,82.41,57.35,146.65,68.39,17.24,88.36,206.8,23.19,2.35,3990,0,0,0,0,9.33,7.8,0.095,0.095,,2.23,12960,4523,13425,1.028574543,189407,95.3,11468,11952,11237,15944,22857,24659,22871,23165,11532,10327,13281,6694,3420,33.5,98956,0.0071,0.057674743
Bloomington-IN,IN,39.165325,-86.5263857,0,6355,0,0.07,975,1252,134.0455272,0.23,43097,0.34,0.214,,,,,,,,,,,0,0,0,0,9.61,7.56,0.06,0.06,96.4,1.05,9500,4965,13821,1.031194463,165393,99.8,7552,7649,7521,17152,28720,23137,17009,17735,9730,8367,12171,6118,2532,30.5,77925,0.0157,0.038423633
Boise-City-ID,ID,43.6187102,-116.2146068,21,29425,0,0.06,964,11530,61.5650477,0.201,54659,0.25,0.158,80.83,33.18,119.49,58.92,31.93,103.65,194.08,30.67,3.46,4775.33,0,20209,2.2,11155,8.3,6.59,0.074,0.074,,1.79,38200,4044,12328,1.052268589,677346,99.8,44734,50021,52272,48165,42464,93052,91059,86231,41745,37483,55536,24447,10137,35.8,353907,-0.0035,0.043441609
Boston-Cambridge-Newton-MA-NH,NH,42.3584308,-71.0597732,212,379499,0,0,3054,4128,1171.640262,0.189,77567,0.368,0.107,75.61,75.34,117.57,83.77,25.07,198.1,178.83,132.64,8.66,7273.69,11,42651,3.675,100210,16.16,11.71,0.082,0.082,,1.96,14000,4834,13918,1.043015511,4771936,94.4,258495,261410,277549,317699,342847,703958,601263,686464,333380,287000,395886,205173,100812,38.7,2821460,0.0039,0.079527261
Boulder-CO,CO,40.0149856,-105.2705456,0,22601,0,0.029,1382,700,460.7342857,0.2,69581,0.522,0.136,80.56,16.62,126.49,64.22,14.14,42.75,215.19,53.96,6.85,478.8,1,27846,3.5,17418,9.94,7.16,0.0463,0.0884,,1.56,12600,4506,12637,1.041214942,316782,100.9,15337,18266,18417,25483,33522,42508,40656,42411,20757,19456,24412,10707,4850,36.2,195698,0.0088,0.071345594
