MSA,Lat,Long,Region.x,talent_score,connect_score,cost_score,quality_score,finalscore
"Abilene, TX",32.4487364,-99.7331439,South,46.88969191,59.10029936,48.0123754,46.18726135,61.6
"Akron, OH",41.0814447,-81.5190053,Midwest,59.66192411,51.62726838,38.28161305,65.85147055,78.93
"Albany Schenectady Troy, NY",42.6525793,-73.7562317,Northeast,59.22834542,41.32104586,57.38593557,41.4497254,72.31
"Albany, GA",31.5785074,-84.155741,South,56.38040344,46.06478783,36.72803089,42.08882168,66.19
"Albuquerque, NM",35.110703,-106.609991,West,64.36125779,44.71343454,67.31378438,25.60916271,70.78
"Alexandria, LA",31.3112936,-92.4451371,South,49.62680526,35.9630433,46.20089295,61.56917999,44.77
"Allentown Bethlehem Easton, PA NJ",40.6084305,-75.4901833,Northeast,79.05139141,80.60573669,44.32746278,59.25698769,52.68
"Altoona, PA",40.5186809,-78.3947359,Northeast,48.08313032,38.80747965,50.18905472,47.65584426,13.42
"Amarillo, TX",35.2219971,-101.8312969,South,58.69341275,39.61709178,43.60758983,46.06478783,52.42
"Ames, IA",42.034722,-93.62,Midwest,44.94323844,46.43210566,59.01253525,33.94906127,54.97
"Anchorage, AK",61.2180556,-149.9002778,West,63.16658081,46.67685337,51.9184371,39.21436578,26.42
"Ann Arbor, MI",42.2808256,-83.7430378,Midwest,39.49700921,53.6950094,83.60787747,58.63600934,63.13
"Appleton, WI",44.2619309,-88.4153847,Midwest,57.30056458,64.37456773,55.33214638,51.50050238,28.97
"Arlington Alexandria, VA",38.9071923,77.0368707,South,47.35977001,36.11174441,46.22059552,50.49445773,57.01
"Asheville, NC",35.5950581,-82.5514869,South,55.50142712,22.41879377,63.78582945,18.56360716,58.8
"Athens Clarke County, GA",33.95,-83.383333,South,44.30198524,29.05965022,37.05616708,49.62395253,88.11
"Atlanta Sandy Springs Roswell, GA",33.7489954,-84.3879824,South,41.65919084,50.74472428,44.76610896,69.30802769,81.23
"Atlantic City Hammonton, NJ",39.3642834,-74.4229266,Northeast,59.84183307,34.58611792,31.3641588,76.7586118,34.83
"Auburn Opelika, AL",32.6098566,-85.4807825,South,56.9956113,67.47861548,33.01408482,35.9630433,79.19
"Augusta Richmond County, GA SC",33.4734978,-82.0105148,South,52.55697836,25.34829134,28.14556546,39.07921439,58.29
"Austin Round Rock, TX",30.267153,-97.7430608,South,52.4588504,48.02339794,46.07553291,42.84732358,85.31
"Bakersfield, CA",35.3732921,-119.0187125,West,38.4763387,28.21087039,64.11251605,21.74285731,15.46
"Baltimore Columbia Towson, MD",39.2903848,-76.6121893,South,38.6639304,42.97295492,49.3069694,23.66994517,71.03
"Bangor, ME",44.8011821,-68.7778138,Northeast,46.77831025,50.87015069,49.76440127,22.08549704,89.39
"Barnstable Town, MA",41.7003208,-70.3002024,Northeast,58.55727698,43.97121945,32.57268115,32.44739513,40.19
"Baton Rouge, LA",30.4582829,-91.1403196,South,42.99584133,25.08249279,64.07107283,77.87879865,26.93
"Battle Creek, MI",42.3211522,-85.1797142,Midwest,41.50731307,12.40740366,66.87123019,64.17368605,9.85
"Bay City, MI",43.5944677,-83.8888647,Midwest,56.27371411,52.2649984,51.86493162,53.56325442,7.55
"Beaumont Port Arthur, TX",30.080174,-94.1265562,South,48.59176261,44.59004616,42.18431479,55.58515694,41.46
"Bellingham, WA",48.74908,-122.4781473,West,52.23861079,52.65104545,26.26509405,37.97995234,55.23
"Bend Redmond, OR",44.0581728,-121.3153096,West,54.10482059,42.08882168,46.36730099,38.94358955,58.03
"Billings, MT",45.7832856,-108.5006904,West,75.08948208,79.84582375,35.94617197,39.61709178,29.99
"Binghamton, NY",42.0986867,-75.9179738,Northeast,39.01387917,22.08549704,65.00994961,44.21915308,50.13
"Birmingham Hoover, AL",33.5206608,-86.80249,South,36.92684311,18.56360716,44.11843804,21.02675336,74.6
"Bismarck, ND",46.8083268,-100.7837392,Midwest,36.13234385,17.08449381,59.67583798,10.46427361,36.87
"Blacksburg Christiansburg Radford, VA",37.2295733,-80.4139393,South,42.86272189,20.65168331,69.05781829,44.71343454,62.36
"Bloomington, IL",40.4842027,-88.9936873,Midwest,44.28300805,59.73318088,43.61189937,19.44651217,68.99
"Bloomington, IN",39.165325,-86.5263857,Midwest,48.10459644,48.26869628,54.76220859,23.36845612,85.56
"Boise City, ID",43.6187102,-116.2146068,West,60.50909717,53.95969456,47.04232368,50.12041858,61.34
"Boston Cambridge Newton, MA NH",42.3584308,-71.0597732,Northeast,53.76159122,53.17022313,60.14907187,26.11705037,84.03
"Boulder, CO",40.0149856,-105.2705456,West,20.23749932,33.62396475,66.36524676,82.3522665,77.66
"Bowling Green, KY",36.9685219,-86.4808043,South,60.90640099,64.78345539,46.8694902,56.14344448,64.66
"Bremerton Silverdale, WA",47.5673202,-122.6329356,West,44.60623535,45.69708883,45.3325179,26.60785249,7.81
"Bridgeport Stamford Norwalk, CT",41.1865478,-73.1951767,Northeast,43.18247862,34.89851592,45.06372912,6.256178979,83.78
"Brownsville Harlingen, TX",25.9017472,-97.4974838,South,70.26908431,52.136906,33.66546689,50.36960352,84.54
"Brunswick, GA",31.1499528,-81.4914894,South,74.51329681,39.34905508,44.1373175,56.42614254,18.01
"Buffalo Cheektowaga Niagara Falls, NY",42.8864468,-78.8783689,Northeast,64.26889732,41.70619961,51.9537477,55.17223276,67.21
"Burlington South Burlington, VT",44.4758825,-73.212072,Northeast,76.37393721,47.65584426,27.05755475,65.41592251,29.22
"Burlington, NC",36.0956918,-79.4377991,South,55.83623002,49.74784782,51.21780043,52.90996972,12.65
"Canton Massillon, OH",40.7989473,-81.378447,Midwest,30.78729859,9.292976865,79.61983169,47.90083365,57.27
"Cape Coral Fort Myers, FL",26.5628537,-81.9495331,South,21.86463243,27.54392676,65.67069189,57.88006231,32.03
"Cape Girardeau, MO IL",37.3058839,-89.5181476,Midwest,60.5050857,65.41592251,45.12639899,39.34905508,16.73
"Carson City, NV",39.1637984,-119.7674034,West,84.95372218,85.92111357,48.45754441,71.0997464,5.77
"Casper, WY",42.866632,-106.313081,West,53.64922906,18.09341307,45.10919579,50.74472428,8.83
"Cedar Rapids, IA",41.9778795,-91.6656232,Midwest,41.74425863,21.39019525,61.77997946,37.69966113,30.75
"Champaign Urbana, IL",40.1164204,-88.2433829,Midwest,54.46416446,44.34291189,35.21124196,57.58344321,92.45
"Charleston North Charleston, SC",32.7764749,-79.9310512,South,71.99239706,39.48329344,58.15667493,61.05300019,51.91
"Charleston, WV",38.3498195,-81.6326234,South,45.51194763,22.74335921,51.94492312,48.76014427,76.13
"Charlotte Concord Gastonia, NC SC",35.2270869,-80.8431267,South,79.1332872,73.98038955,37.44288292,56.00300514,80.46
"Charlottesville, VA",38.0293059,-78.4766781,South,67.5356123,14.69929103,47.10503862,44.34291189,60.83
