MSA,talent_score,connect_score,cost_score,quality_score,finalscore
"Jersey City Hoboken, NJ",95.00,89.35,5.00,84.34,95.00
"New York City, NY",89.35,95.00,11.68,95.00,94.30
"Washington, DC",86.49,80.65,14.70,91.21,89.48
"Los Angeles Long Beach Anaheim, CA",82.99,82.99,22.87,84.71,88.02
"Dallas Fort Worth Arlington, TX",80.65,78.11,32.65,80.44,87.43
"Chicago Naperville Elgin, IL IN WI",81.73,81.73,21.33,84.36,86.00
"Boston Cambridge Newton, MA NH",84.52,84.52,7.45,90.08,85.59
"Denver Aurora Lakewood, CO",78.87,75.07,28.04,80.50,83.65
"Bridgeport Stamford Norwalk, CT",78.11,68.26,23.18,91.48,81.98
"Atlanta Sandy Springs Roswell, GA",74.10,79.71,37.41,71.38,81.28
"Philadelphia Camden Wilmington, PA NJ DE MD",76.16,74.57,26.30,86.27,81.27
"Seattle Tacoma Bellevue, WA",76.76,72.41,24.34,87.43,81.05
"Baltimore Columbia Towson, MD",75.60,70.30,29.56,86.07,81.05
"Newark, NJ",79.71,86.49,15.18,71.41,80.63
"Kansas City, MO KS",71.65,67.23,45.94,77.00,80.54
"Raleigh, NC",72.02,70.95,41.81,74.28,79.71
"Houston The Woodlands Sugar Land, TX",75.07,76.16,27.55,77.42,79.40
"Albany Schenectady Troy, NY",77.41,62.65,26.55,78.02,79.26
"Detroit Warren Dearborn, MI",70.95,73.22,40.51,76.85,79.02
"Indianapolis Carmel Anderson, IN",70.62,66.99,44.55,74.53,78.61
"Cincinnati, OH KY IN",69.38,67.73,45.27,75.87,77.97
"St. Louis, MO",68.26,69.09,45.34,80.70,77.90
"Minneapolis St. Paul Bloomington, MN WI",73.22,71.65,28.69,80.67,77.73
"Charlotte Concord Gastonia, NC SC",67.99,75.60,43.01,78.04,77.50
"Nashville Davidson  Murfreesboro  Franklin, TN",71.30,67.48,41.09,67.08,77.00
"Columbus, OH",72.41,66.51,33.69,76.07,76.97
"Austin Round Rock, TX",74.57,68.53,24.04,77.59,76.52
"Madison, WI",72.80,63.39,29.00,81.07,76.13
"Tulsa, OK",65.18,63.02,53.12,76.64,75.75
"Cleveland Elyria, OH",69.68,70.62,37.22,72.65,75.55
"Providence Warwick, RI MA",73.65,65.83,25.47,74.77,75.17
"Miami Fort Lauderdale West Palm Beach, FL",67.73,78.87,26.02,92.99,74.65
"Greensboro High Point, NC",63.39,63.20,59.11,65.28,74.11
"Greenville Anderson Mauldin, SC",63.02,63.77,52.00,79.33,73.81
"Oklahoma City, OK",64.16,64.36,51.81,71.77,73.73
"Pittsburgh, PA",68.53,69.98,31.06,78.65,73.27
"Birmingham Hoover, AL",64.76,62.83,50.50,68.77,73.14
"Milwaukee Waukesha West Allis, WI",66.99,67.99,34.26,81.67,72.97
"San Jose Sunnyvale Santa Clara, CA",70.30,69.68,22.88,81.50,72.74
