city name	MSA
"Abilene, TX"	"Abilene, TX"
"Impact, TX"	"Abilene, TX"
"Akron, OH"	"Akron, OH"
"Albany, GA"	"Albany, GA"
"Rensselaer, NY"	"Albany Schenectady Troy, NY"
"Hampton Manor, NY"	"Albany Schenectady Troy, NY"
"Menands, NY"	"Albany Schenectady Troy, NY"
"Roessleville, NY"	"Albany Schenectady Troy, NY"
"Albany, NY"	"Albany Schenectady Troy, NY"
"Loudonville, NY"	"Albany Schenectady Troy, NY"
"Albuquerque, NM"	"Albuquerque, NM"
"North Valley, NM"	"Albuquerque, NM"
"Los Ranchos de Albuquerque, NM"	"Albuquerque, NM"
"Alexandria, LA"	"Alexandria, LA"
"Pineville, LA"	"Alexandria, LA"
"Willow Glen, LA"	"Alexandria, LA"
"Anandale, LA"	"Alexandria, LA"
"North Catasauqua, PA"	"Allentown Bethlehem Easton, PA NJ"
"Coplay, PA"	"Allentown Bethlehem Easton, PA NJ"
"Dorneyville, PA"	"Allentown Bethlehem Easton, PA NJ"
"Allentown, PA"	"Allentown Bethlehem Easton, PA NJ"
"Stiles, PA"	"Allentown Bethlehem Easton, PA NJ"
"Catasauqua, PA"	"Allentown Bethlehem Easton, PA NJ"
"Cetronia, PA"	"Allentown Bethlehem Easton, PA NJ"
"Fullerton, PA"	"Allentown Bethlehem Easton, PA NJ"
"Hokendauqua, PA"	"Allentown Bethlehem Easton, PA NJ"
"Greenwood, PA"	"Altoona, PA"
"Lakemont, PA"	"Altoona, PA"
"Altoona, PA"	"Altoona, PA"
"Amarillo, TX"	"Amarillo, TX"
"Ames, IA"	"Ames, IA"
"Spenard, AK"	"Anchorage, AK"
"Barton Hills, MI"	"Ann Arbor, MI"
"Ann Arbor, MI"	"Ann Arbor, MI"
"Menasha, WI"	"Appleton, WI"
"Appleton, WI"	"Appleton, WI"
"Woodfin, NC"	"Asheville, NC"
"Asheville, NC"	"Asheville, NC"
"Biltmore Forest, NC"	"Asheville, NC"
"Athens, GA"	"Athens Clarke County, GA"
"Atlanta, GA"	"Atlanta Sandy Springs Roswell, GA"
"Ventnor City, NJ"	"Atlantic City Hammonton, NJ"
"Atlantic City, NJ"	"Atlantic City Hammonton, NJ"
"Brigantine, NJ"	"Atlantic City Hammonton, NJ"
"Auburn, AL"	"Auburn Opelika, AL"
"Austin, TX"	"Austin Round Rock, TX"
"Rollingwood, TX"	"Austin Round Rock, TX"
"West Lake Hills, TX"	"Austin Round Rock, TX"
"Bakersfield, CA"	"Bakersfield, CA"
"Oildale, CA"	"Bakersfield, CA"
"Baltimore Highlands, MD"	"Baltimore Columbia Towson, MD"
"Arundel Village, MD"	"Baltimore Columbia Towson, MD"
"Baltimore, MD"	"Baltimore Columbia Towson, MD"
"Brewer, ME"	"Bangor, ME"
"Bangor, ME"	"Bangor, ME"
"Barnstable, MA"	"Barnstable Town, MA"
"Hyannis, MA"	"Barnstable Town, MA"
"Baton Rouge, LA"	"Baton Rouge, LA"
"Merrydale, LA"	"Baton Rouge, LA"
"Battle Creek, MI"	"Battle Creek, MI"
"Brownlee Park, MI"	"Battle Creek, MI"
"Springfield, MI"	"Battle Creek, MI"
"Bay City, MI"	"Bay City, MI"
"Essexville, MI"	"Bay City, MI"
"Beaumont, TX"	"Beaumont Port Arthur, TX"
"Bellingham, WA"	"Bellingham, WA"
