GEO.id,GEO.id2,GEO.display-label,GC.target-geo-id,GC.target-geo-id2,GC.display-label,GC.display-label,popchg4201072017,natinc4201072017,births4201072017,deaths4201072017,netmig4201072017,intlmig4201072017,dommig4201072017,popchg20162017,natinc20162017,births20162017,deaths20162017,netmig20162017,intlmig20162017,dommig20162017
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geography,Geography,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2017 - Total Population Change [1]","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2017 - Natural Increase","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2017 - Vital Events - Births","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2017 - Vital Events - Deaths","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2017 - Net Migration - Total","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2017 - Net Migration - International [2]","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2017 - Net Migration - Domestic","Annual Estimates of the Components of Population Change - July 1, 2016 to July 1, 2017 - Total Population Change [1]","Annual Estimates of the Components of Population Change - July 1, 2016 to July 1, 2017 - Natural Increase","Annual Estimates of the Components of Population Change - July 1, 2016 to July 1, 2017 - Vital Events - Births","Annual Estimates of the Components of Population Change - July 1, 2016 to July 1, 2017 - Vital Events - Deaths","Annual Estimates of the Components of Population Change - July 1, 2016 to July 1, 2017 - Net Migration - Total","Annual Estimates of the Components of Population Change - July 1, 2016 to July 1, 2017 - Net Migration - International [2]","Annual Estimates of the Components of Population Change - July 1, 2016 to July 1, 2017 - Net Migration - Domestic"
0100000US,,United States,0100000US,,United States,United States,16961073,9727447,28703158,18975711,7233626,7233626,(X),2313243,1201960,3946000,2744040,1111283,1111283,(X)
0100000US,,United States,01000C0US,,United States - In metropolitan statistical area,In metropolitan statistical area,17172363,9421531,24808766,15387235,7752833,6976716,776117,2279287,1167499,3418102,2250603,1111319,1070211,41108
0100000US,,United States,310M300US10180,10180,"United States - Abilene, TX Metro Area","Abilene, TX Metro Area",4971,5210,17157,11947,-191,2520,-2711,486,658,2375,1717,-167,279,-446
0100000US,,United States,310M300US10420,10420,"United States - Akron, OH Metro Area","Akron, OH Metro Area",302,3696,54644,50948,-3014,10413,-13427,949,204,7342,7138,770,1647,-877
0100000US,,United States,310M300US10500,10500,"United States - Albany, GA Metro Area","Albany, GA Metro Area",-6066,4796,15175,10379,-10964,860,-11824,-1006,389,1881,1492,-1396,136,-1532
0100000US,,United States,310M300US10540,10540,"United States - Albany, OR Metro Area","Albany, OR Metro Area",8375,1912,10685,8773,6504,-31,6535,2347,254,1555,1301,2087,-3,2090
0100000US,,United States,310M300US10580,10580,"United States - Albany-Schenectady-Troy, NY Metro Area","Albany-Schenectady-Troy, NY Metro Area",15468,9693,65757,56064,6220,18287,-12067,3387,868,8848,7980,2535,2650,-115
0100000US,,United States,310M300US10740,10740,"United States - Albuquerque, NM Metro Area","Albuquerque, NM Metro Area",23665,25754,76949,51195,-1692,7722,-9414,3849,2527,10175,7648,1362,1194,168
0100000US,,United States,310M300US10780,10780,"United States - Alexandria, LA Metro Area","Alexandria, LA Metro Area",62,3261,14915,11654,-3122,1028,-4150,-410,389,2000,1611,-798,164,-962
0100000US,,United States,310M300US10900,10900,"United States - Allentown-Bethlehem-Easton, PA-NJ Metro Area","Allentown-Bethlehem-Easton, PA-NJ Metro Area",19278,4596,62437,57841,15221,20932,-5711,5317,572,8521,7949,4789,3369,1420
0100000US,,United States,310M300US11020,11020,"United States - Altoona, PA Metro Area","Altoona, PA Metro Area",-3619,-1844,9758,11602,-1671,161,-1832,-470,-364,1285,1649,-99,24,-123
0100000US,,United States,310M300US11100,11100,"United States - Amarillo, TX Metro Area","Amarillo, TX Metro Area",12992,10711,27432,16721,2179,5559,-3380,1889,1347,3662,2315,542,892,-350
0100000US,,United States,310M300US11180,11180,"United States - Ames, IA Metro Area","Ames, IA Metro Area",7960,3169,6739,3570,4770,5702,-932,686,376,890,514,306,910,-604
0100000US,,United States,310M300US11260,11260,"United States - Anchorage, AK Metro Area","Anchorage, AK Metro Area",20067,28217,43973,15756,-8464,7988,-16452,-611,3685,6047,2362,-4321,855,-5176
0100000US,,United States,310M300US11460,11460,"United States - Ann Arbor, MI Metro Area","Ann Arbor, MI Metro Area",22561,11270,27004,15734,11512,14893,-3381,2875,1320,3669,2349,1564,2265,-701
0100000US,,United States,310M300US11500,11500,"United States - Anniston-Oxford-Jacksonville, AL Metro Area","Anniston-Oxford-Jacksonville, AL Metro Area",-3858,-374,9755,10129,-3450,405,-3855,-252,-85,1342,1427,-165,82,-247
0100000US,,United States,310M300US11540,11540,"United States - Appleton, WI Metro Area","Appleton, WI Metro Area",10460,8785,20633,11848,1820,1618,202,1824,1152,2814,1662,686,260,426
0100000US,,United States,310M300US11700,11700,"United States - Asheville, NC Metro Area","Asheville, NC Metro Area",31289,-2358,32212,34570,33350,1252,32098,5231,-447,4544,4991,5659,252,5407
0100000US,,United States,310M300US12020,12020,"United States - Athens-Clarke County, GA Metro Area","Athens-Clarke County, GA Metro Area",16707,6368,16106,9738,10191,3418,6773,3850,816,2219,1403,3024,533,2491
0100000US,,United States,310M300US12060,12060,"United States - Atlanta-Sandy Springs-Roswell, GA Metro Area","Atlanta-Sandy Springs-Roswell, GA Metro Area",597993,278251,529351,251100,318976,130807,188169,89013,35270,73810,38540,53739,20451,33288
0100000US,,United States,310M300US12100,12100,"United States - Atlantic City-Hammonton, NJ Metro Area","Atlantic City-Hammonton, NJ Metro Area",-4622,3825,22801,18976,-8550,10995,-19545,-912,104,2862,2758,-1021,1609,-2630
0100000US,,United States,310M300US12220,12220,"United States - Auburn-Opelika, AL Metro Area","Auburn-Opelika, AL Metro Area",21308,5941,13181,7240,15188,3920,11268,2621,899,1947,1048,1716,550,1166
0100000US,,United States,310M300US12260,12260,"United States - Augusta-Richmond County, GA-SC Metro Area","Augusta-Richmond County, GA-SC Metro Area",35278,16283,54179,37896,18854,5224,13630,5262,2021,7610,5589,3256,515,2741
0100000US,,United States,310M300US12420,12420,"United States - Austin-Round Rock, TX Metro Area","Austin-Round Rock, TX Metro Area",399507,121257,188961,67704,273662,49311,224351,55269,16791,27400,10609,38305,8185,30120
0100000US,,United States,310M300US12540,12540,"United States - Bakersfield, CA Metro Area","Bakersfield, CA Metro Area",53498,61007,102106,41099,-7314,12704,-20018,8033,7593,13643,6050,450,2072,-1622
0100000US,,United States,310M300US12580,12580,"United States - Baltimore-Columbia-Towson, MD Metro Area","Baltimore-Columbia-Towson, MD Metro Area",97572,72700,244958,172258,26527,64137,-37610,7147,8093,33546,25453,-870,9050,-9920
0100000US,,United States,310M300US12620,12620,"United States - Bangor, ME Metro Area","Bangor, ME Metro Area",-1963,-621,10484,11105,-1255,673,-1928,442,-188,1379,1567,638,86,552
0100000US,,United States,310M300US12700,12700,"United States - Barnstable Town, MA Metro Area","Barnstable Town, MA Metro Area",-2424,-9345,11326,20671,7104,2173,4931,4,-1313,1519,2832,1330,307,1023
0100000US,,United States,310M300US12940,12940,"United States - Baton Rouge, LA Metro Area","Baton Rouge, LA Metro Area",31659,32005,80449,48444,-397,8903,-9300,-1437,4082,11159,7077,-5540,1443,-6983
0100000US,,United States,310M300US12980,12980,"United States - Battle Creek, MI Metro Area","Battle Creek, MI Metro Area",-2020,1386,11991,10605,-3406,1913,-5319,-50,223,1620,1397,-272,318,-590
0100000US,,United States,310M300US13020,13020,"United States - Bay City, MI Metro Area","Bay City, MI Metro Area",-3532,-840,7706,8546,-2644,190,-2834,-242,-143,1019,1162,-94,20,-114
0100000US,,United States,310M300US13140,13140,"United States - Beaumont-Port Arthur, TX Metro Area","Beaumont-Port Arthur, TX Metro Area",9243,10446,40128,29682,-1100,4610,-5710,1528,1415,5680,4265,113,790,-677
0100000US,,United States,310M300US13220,13220,"United States - Beckley, WV Metro Area","Beckley, WV Metro Area",-6370,-1826,10337,12163,-4503,418,-4921,-1818,-482,1254,1736,-1338,61,-1399
0100000US,,United States,310M300US13380,13380,"United States - Bellingham, WA Metro Area","Bellingham, WA Metro Area",20259,5504,16704,11200,14793,2671,12122,5130,737,2373,1636,4371,421,3950
