Firm,Website,Firm's Investment Category,HQ
.406 Ventures,www.406ventures.com,"AI/ML, Healthcare, Big Data, SaaS, Energy, Security, Enterprise","Boston, Massachusetts, United States"
360 Capital Partners,www.360capitalpartners.com,"Robotics, Finance, AI/ML, Mobile, E-Commerce, Retail, Consumer","Paris, Ile-de-France, France"
645 Ventures,645ventures.com,"E-Commerce, Mobile, Social, Enterprise, SaaS, Consumer","New York, New York, United States"
7wire Ventures,www.7wireventures.com,"Education, Life Sci., Mobile, Healthcare","Chicago, Illinois, United States"
808 Ventures,www.808ventures.vc,"AI/ML, Energy, Real Estate, Retail, E-Commerce, Enterprise, Travel","Western Australia, Australia, Oceania"
83North,www.83north.com,"E-Commerce, Finance, Big Data, Mobile, Social, Security, SaaS","Herzliya, Tel Aviv, Israel"
8VC,www.8vc.com,"Big Data, SaaS, Finance, Enterprise, Mobile, Healthcare","San Francisco, California, United States"
Aavishkaar Venture Management services,www.aavishkaar.in,"Retail, E-Commerce, Food & Drink, Healthcare, Energy, Social, Government","Mumbai, Maharashtra, India"
Accel Partners,www.accel.com,"Finance, Enterprise, Big Data, E-Commerce, Social, SaaS, Mobile","Palo Alto, California, United States"
AccelFoods,www.accelfoods.com,Food & Drink,"New York, New York, United States"
Access Venture Partners,www.accessvp.com,"IoT, E-Commerce, Travel, Robotics, Enterprise, Education, Consumer","Westminster, Colorado, United States"
Accomplice,www.accomplice.co,"Big Data, Enterprise, SaaS, Finance, Social, Mobile","Cambridge, Massachusetts, United States"
Acorn Pacific Ventures,www.acornpacific.ventures,"Enterprise, Real Estate, Mobile, Gaming, Delivery, Big Data, Transportation","Santa Clara, California, United States"
Aleph,aleph.vc,"SaaS, E-Commerce, Enterprise, Mobile, Big Data, AI/ML, Finance","Tel Aviv, Tel Aviv, Israel"
Alliance Venture,allianceventure.com,"Security, Mobile, Life Sci., Healthcare, Enterprise","Oslo, Oslo, Norway"
Altos Ventures,altos.vc,"Social, Big Data, Marketplace, Energy, Mobile, E-Commerce, Enterprise","Menlo Park, California, United States"
Alven Capital,www.alven.co,"AI/ML, Big Data, SaaS, Mobile, Enterprise, E-Commerce, Social","Paris, Ile-de-France, France"
AME Cloud Ventures,www.amecloudventures.com,"Life Sci., Healthcare, SaaS, E-Commerce, Enterprise, Big Data, AI/ML","Palo Alto, California, United States"
Amino Capital,www.aminocapital.com,"Big Data, SaaS, Security, Mobile, Enterprise, AI/ML","Palo Alto, California, United States"
Amplify Partners,www.amplifypartners.com,"SaaS, AI/ML, Security, Enterprise, Big Data","Menlo Park, California, United States"
Amplify.LA,amplify.la,"Media, Consumer, SaaS, Social, Healthcare, E-Commerce, Enterprise","Venice, California, United States"
Andreessen Horowitz,a16z.com,"Social, Finance, E-Commerce, Mobile, Enterprise, SaaS, Big Data","Menlo Park, California, United States"
Anthemis Group,www.anthemis.com,"Mobile, AI/ML, Healthcare, Big Data, Energy, Enterprise, Finance","London, England, United Kingdom"
Arab Angel Fund,arabangel.vc,"Healthcare, Mobile, Finance, AI/ML, Enterprise, E-Commerce, Consumer","Washington, District of Columbia, United States"
ARCH Venture Partners,www.archventure.com,"Healthcare, Life Sci.","Chicago, Illinois, United States"
Armory Square Ventures,www.armorysv.com,"Marketplace, Life Sci., Food & Drink, Healthcare, Automotive, Mobile, Gaming","Syracuse, New York, United States"
Array Ventures,array.vc,"Healthcare, Mobile, Big Data, Marketplace, Enterprise, AI/ML, Finance","San Francisco, California, United States"
